Title,Year,Genre,Rating,Certificate,Directors,Cast,Description,Runtime
Non ho sonno (2001) ,2001,"Horror, Mystery, Thriller",6.2,,['Dario Argento'],"['Max von Sydow', 'Stefano Dionisi', 'Chiara Caselli', 'Gabriele Lavia', 'Rossella Falk', 'Paolo Maria Scalondro', 'Roberto Zibetti', 'Roberto Accornero', 'Barbara Lerici', 'Guido Morbello', 'Massimo Sarchielli', 'Diego Casale', 'Alessandra Comerio', 'Elena Marchesini', 'Aldo Massasso', 'Barbara Mautino', 'Conchita Puglisi', 'Brian Ayres', 'Daniele Angius', 'Robert Camero', 'Luca Fagioli', 'Daniela Fazzolari', 'Aldo Delaude', 'John Pedeferri', 'Francesco Benedetto', 'Renato Liprandi', 'Elisabetta Rocchetti', 'Rossella Lucà', 'Antonio Sarasso', 'Piero Marcelli', 'Giuseppe Minutillo', 'Giancarlo Colia', 'Francesca Vettori', 'Claudio Coreno', 'Giorgio Cugno', 'Luca Morino']","Non ho sonno: Directed by Dario Argento. With Max von Sydow, Stefano Dionisi, Chiara Caselli, Gabriele Lavia. A retired police detective and a young amateur sleuth team up to find a serial killer who's resumed a killing spree in Turin, Italy after a 17-year period.",
High Point (2001) ,2001,"Action, Crime, Drama",6.2,,['Tony Urban'],"['Chad Whitson', 'Joshua Picard', 'Kimberly Jo Marsh', 'Nechelle Fabiana', 'Chip Hajel', 'Alex Clark', 'Jeremy Swank', 'Robert Hainzer', 'Linda Peck', 'Georgia Brown', 'Sang Wildemann', 'Keith Singer', 'Terry Landis', 'Louis Folino', 'Kelly Hajel', 'Angela Snyder']","High Point: Directed by Tony Urban. With Chad Whitson, Joshua Picard, Kimberly Jo Marsh, Nechelle Fabiana. After an accidental shooting during a morning of illegal poaching leaves a man dead, a group of friends covers up the death. As they try to move on with their lives, Raffi begins to crumble, and feels like someone is after him.",
Scandal: 15 Minutes of Fame (2001) ,2001,Crime,4.6,R,['Jill Hayworth'],"['Regina Russell Banali', ""Shauna O'Brien"", 'Kira Reed Lorsch', 'Justin Carroll', 'Daniel D. Anderson', 'Steve Curtis', 'Jason Schnuit', 'Sam Williamson', 'Kim Sill', 'Robert Donavan', 'Anthony Skordi', 'Michelle Dye', 'Jack Skeets Gleeson', 'Kellie Nicholson']","Scandal: 15 Minutes of Fame: Directed by Jill Hayworth. With Regina Russell Banali, Shauna O'Brien, Kira Reed Lorsch, Justin Carroll. Three female friends get together to bolster each others careers.",92
Satan Was a Lady (2001) ,2001,Drama,4.2,,['Doris Wishman'],"['Honey Lauren', 'Glyn Styler', 'Edge', 'Hans Lohl', 'Carlos Velazquez', 'Laudet Torres', 'Anne Case', 'Al Reidel', 'Rene Coman', 'Victoria Morrison', 'Kerry Johnston', 'Lindsey Amodeo', 'Tabatha DeMercado', 'Arturo Reyes', 'Lourdes Graves', 'Harry Fredrick', 'Greg Gillingham', 'Doris Wishman']","Satan Was a Lady: Directed by Doris Wishman. With Honey Lauren, Glyn Styler, Edge, Hans Lohl. Wishman's plot rotates around the maneuverings of a whore who longs for a touch of mink and a seat at the finer tables in life. Blackmail, betrayal, murder and malice are all part of her tender trade. Lord help anyone who lays in her way.",
The Proposal (2001) ,2001,"Drama, Thriller",5.3,R,['Richard Gale'],"['Jennifer Esposito', 'Nick Moran', 'Stephen Lang', 'William B. Davis', 'Michael Kopsa', 'Alex Diakun', 'Brian Jensen', 'Mark Acheson', 'Ted Kozma', 'Jerry Walliser', 'Tom Heaton', 'Peter Kent', 'Andrew Macbeth', 'Chuck Duffy', 'Kenneth G. McIntyre', 'Francis Yehoun', 'Nicholas W. von Zill', 'Laurie Bekker', 'Zohar Fiszbaum', 'Louise Allart', 'Kat Kosiancic', 'Richard Gale', 'Hamish Boyd', 'Douglas Edmonds', 'Mathew Evans', 'Gina Marie Frazier', 'Jack Gale', 'Garry Little', 'Juan Llorens', 'Ian Morton', 'Daniel B. Melles', 'Jorge Rodriguez', 'Paula Spurr', 'Craig March', 'Francinere Morrison', 'Trish Adams', 'Nick Serheniuk', 'Ryan Tyler', 'Lawrence Cordes', 'David James Lewis', 'Paul Wu', 'Ben Glendy', 'Majed Larbe', 'Madeline Elder', 'Barbara Vanstone', 'Janette Devries', 'Freda Perry', 'Jennifer Bradsen', 'Eden Marie James', 'Carolyne Maraghi', 'Kathleen Collins', 'Laurie MacKenzie', 'Ariane Stevenson', 'Jane Kadian', 'Patrick Cullen', 'Jennifer Cosgrove', 'Linda Banks', 'David McLeod', 'Bonnie Sutherland', 'Nikolina Racunica', 'Dan Diliberto', 'Bob Jane', 'Ron McNerney']","The Proposal: Directed by Richard Gale. With Jennifer Esposito, Nick Moran, Stephen Lang, William B. Davis. An undercover cop needs a female police officer to pretend to be his wife in order to get close to a ruthless crime boss. The boss's attraction to her entangles them in a complex and dangerous triangle.",91
The Pledge (2001) ,2001,"Crime, Drama, Mystery",6.8,A,['Sean Penn'],"['Patricia Clarkson', 'Beau Daniels', 'Benicio Del Toro', 'Dale Dickey', 'Wendy Donaldson', 'Adrien Dorval', 'Aaron Eckhart', 'Shawn Henter', 'Kathy Jensen', 'Taryn Knowles', 'Nels Lennarson', 'Costas Mandylor', 'J.J. McColl', 'Gordon May', 'Gardiner Millar', 'Helen Mirren', 'Adam Nelson', 'Jack Nicholson', 'Tom Noonan', ""Michael O'Keefe"", 'Tony Parsons', 'Robin Wright', 'Robert Popoff', 'Vanessa Redgrave', 'Nicole Robert', 'Mickey Rourke', 'Pauline Roberts', 'Eileen Ryan', 'Lucy Schmidt', 'Sam Shepard', 'Lois Smith', 'Harry Dean Stanton', 'John R. Taylor', 'Theodore Thomas', 'Brittany Tiplady', 'Mavourneen Varcoe-Ryan', 'Françoise Yip', 'Andrew Hedge', 'Brock Johnson', 'Tony Lima', 'Peter Madsen', 'Cameron K. Smith']","The Pledge: Directed by Sean Penn. With Patricia Clarkson, Beau Daniels, Benicio Del Toro, Dale Dickey. A retiring police detective pledges to catch the killer of a young child.",124
Save the Last Dance (2001) ,2001,"Drama, Music, Romance",6.2,U,['Thomas Carter'],"['Julia Stiles', 'Sean Patrick Thomas', 'Kerry Washington', 'Fredro Starr', 'Terry Kinney', 'Bianca Lawson', 'Vince Green', 'Garland Whitt', 'Elisabeth Oas', 'Artel Great', 'Cory Stewart', 'Jennifer Anglin', 'Dorothy Martin', 'Kim Tlusty', 'Felicia Fields', 'Ora Jones', 'Tab Baker', 'Kevin Reid', 'Andrew Rothenberg', 'Mekdes Bruk', 'Ronnie Ray', 'Tai Davis', 'Karimah Westbrook', 'Erica Hubbard', 'Richmond Talauega', 'Whitney Powell', 'Brenda Pickleman', 'Julie Greenberg', 'Anna Paskevska', 'Malaika Paul', 'Jennifer Echols', 'Ellie Weingardt', 'Earl Manning', 'Latisha Oliver', 'Nefertiti Robinson', 'Roland Tabor', 'Anthony Talauega', 'Richard Whitebear', 'Earl Wright', 'Ariane Dolan', 'Chryssie Whitehead', 'Sarita Smith Childs', 'Trinity Hamilton', 'Randy Herrera', 'Audrey Leung', 'Katrina Oeffling', 'Joanna Wozniak', 'Maia Wilkins', 'Davis C. Robertson', 'Michael Anderson', 'Deanne Brown', 'Deborah Dawn', 'Nicole Marie Duffy', 'Sam Franke', 'Jennifer Goodman', 'Taryn Kaschock', 'Stacy Joy Keller', 'Calvin Kitten', 'Michael Levine', 'Pierre Lockett', 'Suzanne L. Prisco', 'Brian McSween', ""Jeremiah O'Connor"", 'Emily Patterson', 'Domingo Rubio', 'Tracy Shields', 'Patrick Simonello', 'Guoping Wang', 'Teanna Zarro', 'Tracie Futterman', 'Julius Gregory', 'Jerod Howard', 'Milauna Jackson', 'Safia Jalila', 'Slim Khezri', 'Maureen Mendoza', 'Josey Miller', 'Marcello Robinson', 'Lora Starkman', 'Denice Storey', 'Jason Toler', 'Rolando J. Vargas', 'Alice L. Walker']","Save the Last Dance: Directed by Thomas Carter. With Julia Stiles, Sean Patrick Thomas, Kerry Washington, Fredro Starr. A white midwestern girl moves to Chicago, where her new boyfriend is a black teen from the South Side with a rough, semi-criminal past.",112
Camouflage (2001) ,2001,"Action, Comedy",4.5,R,['James Keach'],"['Leslie Nielsen', 'Lochlyn Munro', 'Vanessa Angel', 'William Forsythe', 'Patrick Warburton', 'Tom Aldredge', 'Frank Collison', 'Suzanne Krull', 'C. Ernst Harth', 'Brahm Taylor', 'Richard Faraci', 'Sarah-Jane Redmond', 'Belinda Montgomery', 'Richard Newman', 'Nahanni Arntzen', 'Terry Wilson', 'Marjanka McComb', 'Alexis Ioannidis', 'Garry Chalk', 'Marya Delver', 'Russell Ferrier', 'Shayne Wyler', 'Fred Henderson', 'Barry Chapman', 'Xantha Radley', 'Mike Mitchell', 'David Neale', 'April Telek', 'Mark Holden', 'James Ralph']","Camouflage: Directed by James Keach. With Leslie Nielsen, Lochlyn Munro, Vanessa Angel, William Forsythe. An actor discovers the dark side of private investigating when he takes on an assignment in rural Oregon with a crusty P.I.",98
Antitrust (2001) ,2001,"Action, Crime, Drama",6.1,U,['Peter Howitt'],"['Ryan Phillippe', 'Rachael Leigh Cook', 'Claire Forlani', 'Tim Robbins', 'Douglas McFerran', 'Richard Roundtree', 'Tygh Runyan', 'Yee Jee Tso', 'Nate Dushku', 'Ned Bellamy', 'Tyler Labine', 'Scott Bellis', 'David Lovgren', 'Zahf Paroo', 'Jonathon Young', 'Rick Worthy', 'Nathaniel DeVeaux', 'Ian Robison', 'Linda Ko', 'Ed Beechner', 'Bobby Stewart', 'Eric Breker', 'Colin Cunningham', 'JR Bourne', 'Eric Keenleyside', 'Dayna Devon', 'Ron Halder', 'Sarah Deakins', 'Daniel McKellar', 'Howard Storey', 'Elizabeth Carol Savenkoff', 'Ingelise Nherlan', 'Peter New', 'Blaine Perrin', 'Colin Foo', 'Helena Yea', 'Kevin Hayes', 'Claire Riley', 'Patti Vieta', 'Rob Court', 'Scott Fee', 'Norma Jean Wick', 'Tamara Taggart', 'Linden Banks', 'Benita Ha', 'Justin Sain', 'Ricardo Scarabelli', 'Ian Bliss', 'Peter Goudie', 'Anees Peterman', 'Gregor Trpin', 'Peter Howitt', 'Julie McDowell', 'Miguel de Icaza', 'Scott McNealy', 'Brian Walley', 'Robert J. Halas', 'Daniel Cruz', 'Tyson Holmes', 'Rachel McGinnis', 'Francisco Ortiz', 'Dino Pallome', 'Paresh Ramji', 'Jason Singer', 'Simon Wong', 'Greg Armstrong-Morris', 'David Clennon', 'Amy Esterle', 'Robert Marthaller', 'Rana Morrison', 'Benjamin B. Smith']","Antitrust: Directed by Peter Howitt. With Ryan Phillippe, Rachael Leigh Cook, Claire Forlani, Tim Robbins. A computer programmer's dream job at a hot Portland-based firm turns nightmarish when he discovers his boss has a secret and ruthless means of dispatching anti-trust problems.",108
Double Take (2001) ,2001,"Action, Comedy, Crime",5.4,PG-13,['George Gallo'],"['Orlando Jones', 'Eddie Griffin', 'Gary Grubbs', 'Daniel Roebuck', 'Sterling Macer Jr.', 'Benny Nieves', 'Garcelle Beauvais', 'Andrea Navedo', 'Edward Herrmann', 'Shawn Elliott', 'Brent Briscoe', 'Donna Eskra', 'Carlos Carrasco', 'Frank Pesce', 'Julie Lott', 'Robby Robinson', 'John M. Seiber', 'Jeff Griggs', 'Ted White', 'Tony Genaro', 'Martin Morales', 'Jimmy Evangelatos', 'Raul Julia-Levy', 'George Sharperson', 'Joe Gironda', 'Joe Basile', 'Mark Chalant Phifer', 'Brent Sexton', 'Kevin Will', 'Richard Miro', 'Alexander Folk', ""Annie O'Donnell"", 'Pamela Kosh', 'Frank Gallegos', 'Tom Adams', 'Johanna Cypis', 'Shirley Thomas', 'Norm Compton', 'George Czarnecki', 'Xanthia Decaux', 'Robert Harvey', 'Ana Bianco', 'Juan Soto Jr.', 'Loran Taylor', 'Lisa Zee', 'James Gregory', 'Chelsea Bond', 'Johnny Drocco', 'Vivica A. Fox', 'Corey Lubak', 'Mei Melançon', 'Louie Mendez', 'Cazimir Milostan', 'Willow']","Double Take: Directed by George Gallo. With Orlando Jones, Eddie Griffin, Gary Grubbs, Daniel Roebuck. A man on the run takes another man's passport, only to find himself stuck with the identity of a street hustler.",88
Forbidden Highway (2001) ,2001,"Comedy, Crime, Romance",4.9,R,['Kelley Cauthen'],"['Ron Cobert', 'Kira Reed Lorsch', 'Mia Zottoli', 'Tracy Ryan', 'Brandon Molale', 'John Gallo', 'Thad Geer', 'Ivon Dobrin', 'Robert Allen Mukes', 'Charlie White Owl', 'Dee']","Forbidden Highway: Directed by Kelley Cauthen. With Ron Cobert, Kira Reed Lorsch, Mia Zottoli, Tracy Ryan. Cherry decides to hide in Las Vegas after robbing her mafia boss employer. Now, bandits have to deliver him back to LA.",104
Cause of Death (2001) ,2001,"Crime, Mystery, Romance",4.4,R,['Marc S. Grenier'],"['Patrick Bergin', 'Maxim Roy', 'Joan Severance', 'Michael Ironside', 'Eugene Clark', 'Edward Yankie', 'Vlasta Vrana', 'Michael Rudder', 'Larry Day', 'Cas Anvar', 'John Dunn-Hill', 'Dean Hagopian', 'Janine Theriault', 'Harry Standjofski', 'David Sharp', 'Robert Brewster', 'Gayle Garfinkle', 'Amanda Strawn', 'Mark Antony Krupa', 'Joanna Noyes', 'Andy Bradshaw', 'David Rigby', 'Anastasia Tsar', 'B Martin Sage', 'John Walsh', 'Nicolas Landre', 'Manon Harvey', 'Johanne Marie']","Cause of Death: Directed by Marc S. Grenier. With Patrick Bergin, Maxim Roy, Joan Severance, Michael Ironside. A deputy-district attorney, assigned to investigate the murder of the mayor's cousin, finds himself falling for the victim's wife.",95
Forgive Me Father (2001) ,2001,"Crime, Drama, Mystery",5.2,R,['Ivan Rogers'],"['Ivan Rogers', 'Rich Komenich', 'Charles Napier', 'Chris Elbert', 'Jeff Bass', 'Alexander Hill', 'Jack Rooney', ""Rebecca O'Gorman"", 'Stephen Jon Cohen', 'John E. Blazier', 'Brad Griffiths', 'Derrick Perkins', 'K.A. Killebrew', 'Guy Camara', 'James Penn', 'Amy Ballard', 'Angela Bennett', 'Jon Bond', 'Paul Crump', 'Paul Gillard', 'Dan T. Hall', 'Lou Harry', 'Rebecca Nelly', 'Jeff Parker', 'Ric Payne', 'Carlos Pedrazza', 'Erika Szostak', 'Lissa Zappardino']","Forgive Me Father: Directed by Ivan Rogers. With Ivan Rogers, Rich Komenich, Charles Napier, Chris Elbert. A ruthless mob hit-man, has been living a new life in Canada as a Priest after faking his own death. However he must come out of hiding to avenge his brother's death.",138
The Invisible Circus (2001) ,2001,Drama,5.5,R,['Adam Brooks'],"['Cameron Diaz', 'Jordana Brewster', 'Christopher Eccleston', 'Blythe Danner', 'Camilla Belle', 'Patrick Bergin', 'Isabelle Pasco', 'Moritz Bleibtreu', 'Philipp Weissert', 'Nikola Obermann', 'Robert Getter', 'Ricky Koole', 'Marianne Hettinger', 'Stéphanie Lanier', 'Edward Olive']","The Invisible Circus: Directed by Adam Brooks. With Cameron Diaz, Jordana Brewster, Christopher Eccleston, Blythe Danner. A teenage girl travels to Paris in the 1970s trying to find out about her sister's suicide, and falls in love with her dead sister's boyfriend.",93
High Explosive (2001) ,2001,Action,4.5,,['Timothy Bond'],"['Patrick Bergin', 'Désirée Nosbusch', 'Dan Petronijevic', 'Nina Muschallik', 'Mpho Lovinga', 'Ernie Birdas', 'Rod Campbell', 'Itayi Chapendama', 'Chido Chimanga', 'Norbert Fero', 'Donald Garwe', 'Misheck Gasha', 'Tendayi Gurure', 'Wilfred Kalipengule', 'Rockie Katsande', 'Charles Killington', 'Kuda Kwashe', 'Edgar Langeveldt', 'Victor Mapfumo', 'Hamilton Muchenje', 'Themba Ndaba', 'Titus Nyambe', 'Yanai Psvuura', 'Ian Roberts', 'Robert Whitehead', 'Alice Zengeya']","High Explosive: Directed by Timothy Bond. With Patrick Bergin, Désirée Nosbusch, Dan Petronijevic, Nina Muschallik. Medical and de-mining personnel for the United Nations must escape from war-torn Angola before revolutionaries kill them.",
